time/total_timesteps,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/episodes
439219,1955.98,-0.00038850586861371994,0.0,24581,0.001,4.5601450393562004e-10,17,438218,224
447219,1955.98,-0.00038767611840739846,0.0,25003,0.001,3.2707392350062037e-09,17,446218,228
455219,1955.98,-0.00038377850432880223,0.0,25424,0.001,3.01316298301213e-11,17,454218,232
463219,1955.98,-0.0004064839449711144,0.0,25872,0.001,1.9121833283453071e-10,17,462218,236
471219,1964.8,-0.00037101804628036916,0.0,26296,0.001,5.391183610647943e-10,17,470218,240
479219,1964.8,-0.0004043098888359964,0.0,26720,0.001,7.324655465490437e-11,17,478218,244
487219,1970.56,-0.000413128494983539,0.0,27145,0.001,8.236840542963364e-09,17,486218,248
495219,1970.56,-0.000507737451698631,0.0,27571,0.001,9.257773214699228e-09,17,494218,252
503219,1970.56,-0.0004194482462480664,0.0,27993,0.001,9.6935046794977e-12,17,502218,256
511219,1970.56,-0.0004277188272681087,0.0,28415,0.001,1.1197718446931404e-10,17,510218,260
519219,1970.76,-0.0004363136540632695,0.0,28840,0.001,2.359847733890419e-11,18,518218,264
527054,1969.11,-0.0004396591684781015,0.0,29255,0.001,5.024051730195822e-10,18,526053,268
535054,1969.11,-0.00041173104546032846,0.0,29679,0.001,7.910203048133724e-11,18,534053,272
543054,1978.33,-0.00043393304804340005,0.0,30101,0.001,2.071947891035819e-10,18,542053,276
551054,1978.33,-0.00046162368380464613,0.0,30525,0.001,1.123394377522402e-09,18,550053,280
558686,1974.65,-0.0004113119503017515,0.0,30935,0.001,2.4248914508306907e-12,18,557685,284
566686,1974.65,-0.0004069972492288798,0.0,31356,0.001,4.235555656206813e-11,18,565685,288
574686,1974.65,-0.0013893303694203496,0.009999999776482582,32088,0.001,1.4214161531828085e-15,17,573685,292
582686,1974.65,-0.0027422625571489334,0.009999999776482582,32512,0.001,9.1811324168245e-15,17,581685,296
590686,1990.69,-0.0023083502892404795,0.009999999776482582,32950,0.001,6.71406541474795e-11,17,589685,300
598201,1989.82,-0.0019590468145906925,0.009999999776482582,33349,0.001,6.715212153701744e-14,17,597200,304
606201,1989.82,-0.0017178140114992857,0.009999999776482582,33773,0.001,1.1633717600378901e-10,17,605200,308
613600,1983.81,-0.001453884644433856,0.009999999776482582,34166,0.001,7.015425129708319e-09,17,612599,312
621600,1983.81,-0.001258614705875516,0.009999999776482582,34590,0.001,6.088883303806414e-12,17,620599,316
629600,1983.81,-0.0012036084663122892,0.009999999776482582,35033,0.001,2.8366049201374033e-13,17,628599,320
637324,1981.05,-0.001120622269809246,0.009999999776482582,35443,0.001,3.1078686291152735e-09,17,636323,324
645324,1981.05,-0.0009676989284344018,0.009999999776482582,35847,0.001,5.354414689406894e-10,18,644323,328
652839,1976.2,-0.0008454546914435923,0.009999999776482582,36232,0.001,6.273975228232587e-10,18,651838,332
660839,1976.2,-0.0007452460122294724,0.009999999776482582,36655,0.001,8.943779554850331e-14,18,659838,336
668839,1976.2,-0.0007359803421422839,0.009999999776482582,37068,0.001,1.2774130982596416e-14,18,667838,340
676839,1976.2,-0.000697217183187604,0.009999999776482582,37651,0.001,1.3850468549847506e-09,17,675838,344
684531,1973.12,-0.0006127571105025709,0.009999999776482582,38047,0.001,3.6555222737710835e-10,17,683530,348
692531,1973.12,-0.0005745512316934764,0.009999999776482582,38470,0.001,4.466937670449811e-12,18,691530,352
