train/entropy_loss,time/iterations,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,train/policy_loss,train/value_loss
-1.315670071888299e-16,100,500,99,-3095.474853515625,500.0,0.6204975247383118,0.0007,11,45,-0.0,5.6454033851623535
-4.705521403276314e-27,200,1000,199,-3097.952392578125,500.0,-1.4813997745513916,0.0007,14,69,-0.0,16.708789825439453
-2.690160245564532e-24,300,1500,299,-3099.844970703125,500.0,-10.018020629882812,0.0007,16,93,-0.0,11.259820938110352
-1.8790786669222095e-23,400,2000,399,-3100.083984375,500.0,-14.075323104858398,0.0007,17,116,-0.0,25.6456298828125
-8.652518286998989e-24,500,2500,499,-3099.925048828125,500.0,-8.711505889892578,0.0007,17,140,-0.0,5.628695487976074
-4.565864599407704e-24,600,3000,599,-3100.397216796875,500.0,-16.274892807006836,0.0007,18,164,-0.0,11.121084213256836
-2.7816971012084362e-24,700,3500,699,-3100.485595703125,500.0,-6.266977787017822,0.0007,18,187,-0.0,12.510388374328613
-3.466597478996831e-26,800,4000,799,-3100.83642578125,500.0,-1.8815324306488037,0.0007,18,211,-0.0,9.442571640014648
-3.9774895744081373e-20,900,4500,899,-3100.740478515625,500.0,-0.4445626735687256,0.0007,19,235,-0.0,24.717287063598633
-2.2751488458103078e-23,1000,5000,999,-3100.51123046875,500.0,-65.96851348876953,0.0007,19,259,-0.0,4.033000946044922
-3.375555377191159e-23,1100,5500,1099,-3100.404541015625,500.0,-75.06867218017578,0.0007,19,282,-0.0,4.136529445648193
-4.285402932812831e-23,1200,6000,1199,-3100.298828125,500.0,-10057.8857421875,0.0007,19,311,-0.0,5.333905220031738
-1.4431852315382667e-24,1300,6500,1299,-3100.361083984375,500.0,-2.624722480773926,0.0007,19,334,-0.0,6.541422367095947
-1.6910891689035163e-23,1400,7000,1399,-3100.342041015625,500.0,-28.81871795654297,0.0007,19,358,-0.0,6.651294708251953
-1.5589732491304753e-24,1500,7500,1499,-3100.484375,500.0,-6.796552658081055,0.0007,19,382,-0.0,4.028045654296875
-4.626102215345607e-25,1600,8000,1599,-3100.29541015625,500.0,-2.0240235328674316,0.0007,19,406,-0.0,2.496300458908081
