rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates
0.25,276,1,141,69.0,4,,,,
0.125,2562,4,547,320.25,8,,,,
0.0833333358168602,3386,4,806,282.1666666666667,12,,,,
0.0625,3662,3,939,228.875,16,,,,
0.05000000074505806,3962,3,1070,198.1,20,,,,
0.0416666679084301,6490,4,1454,270.4166666666667,24,,,,
0.0357142873108387,8286,4,1818,295.92857142857144,28,,,,
0.03125,8579,4,1954,268.09375,32,,,,
0.02777777798473835,9713,4,2232,269.80555555555554,36,,,,
0.05000000074505806,10543,4,2417,263.575,40,1.8785544125421438e-05,0.010052171535789967,0.0001,130
0.04545454680919647,16639,1,13325,378.15909090909093,44,3.1352400583273266e-05,0.021894432976841925,0.0001,1650
0.0416666679084301,22697,1,14132,472.8541666666667,48,1.4130438648862764e-05,0.022690629959106444,0.0001,3170
0.03846153989434242,24955,1,14478,479.90384615384613,52,3.468166232778458e-05,0.02606790214776993,0.0001,3730
0.0357142873108387,27234,1,14841,486.32142857142856,56,2.1595579619315684e-05,0.022017205134034157,0.0001,4300
0.03333333507180214,27500,1,14950,458.3333333333333,60,1.820307425077772e-05,0.023016275838017464,0.0001,4370
0.03125,27951,1,15083,436.734375,64,1.6578315899096198e-05,0.022797244042158125,0.0001,4480
0.029411764815449715,28299,1,15200,416.1617647058824,68,0.0031404787916017086,0.02261932156980038,0.0001,4570
0.02777777798473835,29275,1,15390,406.59722222222223,72,1.6084872322608133e-05,0.021256867796182632,0.0001,4810
0.02631578966975212,29547,1,15496,388.7763157894737,76,1.2912357306049671e-05,0.020009028166532515,0.0001,4880
0.02500000037252903,29825,1,15604,372.8125,80,3.3349385194014755e-05,0.02305212654173374,0.0001,4950
0.02380952425301075,30912,1,15808,368.0,84,5.95866984440363e-05,0.024000870436429976,0.0001,5220
0.022727273404598236,33492,2,16193,380.59090909090907,88,2.5929636285582093e-05,0.024050093442201614,0.0001,5870
0.021739130839705467,34051,2,16334,370.1195652173913,92,3.073182961088605e-05,0.021392039582133295,0.0001,6010
0.02083333395421505,36280,2,16689,377.9166666666667,96,2.7756334384321234e-05,0.02349252849817276,0.0001,6560
0.019999999552965164,36655,2,16811,366.55,100,2.5327623370685613e-05,0.025097309425473214,0.0001,6660
0.009999999776482582,37100,2,16941,368.24,104,2.3608686387888155e-05,0.02388738505542278,0.0001,6770
0.009999999776482582,42585,2,17682,400.23,108,1.72124204254942e-05,0.02186182476580143,0.0001,8140
0.009999999776482582,50585,2,19861,471.99,112,1.1557924653970986e-05,0.017967662215232848,0.0001,10140
0.009999999776482582,58585,2,22020,549.23,116,1.2856069224653765e-05,0.014354619011282922,0.0001,12140
