train/actor_loss,rollout/ep_len_mean,time/episodes,train/n_updates,time/fps,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate
0.06937918998301029,1315.25,4,24,13,0.0006113248109613778,0.0,5261,388,0.0001
0.08179108798503876,1657.625,8,824,19,2.5434963617954054e-05,0.0,13261,663,0.0001
0.08336137048900127,1771.75,12,1624,20,1.7016056062857388e-05,0.0,21261,1033,0.0001
0.08252744376659393,1828.8125,16,2424,21,8.679316351845046e-06,0.0,29261,1353,0.0001
0.07857413589954376,1863.05,20,3224,22,6.476486476003629e-06,0.0,37261,1630,0.0001
0.07585091888904572,1885.875,24,4024,23,4.435074913544668e-06,0.0,45261,1901,0.0001
0.07287087105214596,1902.1785714285713,28,4824,24,3.7936690091555647e-06,0.0,53261,2177,0.0001
0.07145595923066139,1914.40625,32,5624,24,4.358482158295374e-06,0.0,61261,2451,0.0001
0.0695719737559557,1923.9166666666667,36,6424,25,2.678861505955865e-06,0.0,69261,2724,0.0001
0.06823202408850193,1904.7,40,7120,25,1.2367819010705716e-05,0.0,76188,2989,0.0001
0.0668663177639246,1913.3636363636363,44,7920,24,2.556311144985557e-06,0.0,84188,3371,0.0001
0.06469704397022724,1920.5833333333333,48,8720,25,2.0794093273934777e-06,0.0,92188,3641,0.0001
0.06324161030352116,1926.6923076923076,52,9520,25,1.3910291301044708e-06,0.0,100188,3909,0.0001
0.06197823863476515,1931.9285714285713,56,10320,25,1.411143280449778e-06,0.0,108188,4186,0.0001
0.059491630643606186,1936.4666666666667,60,11120,26,1.0343543053181747e-06,0.0,116188,4461,0.0001
0.057387180626392365,1940.4375,64,11920,26,1.3310912194697266e-06,0.0,124188,4743,0.0001
0.055700396187603474,1943.9411764705883,68,12720,26,1.161638863322878e-06,0.0,132188,5055,0.0001
0.054820005781948566,1920.7916666666667,72,13328,26,1.3402937284467953e-06,0.0,138297,5296,0.0001
0.05361130088567734,1924.9605263157894,76,14128,26,9.007874268718297e-07,0.0,146297,5570,0.0001
0.052277328446507454,1928.7125,80,14928,26,1.7641923690803196e-06,0.0,154297,5849,0.0001
0.05162328388541937,1932.107142857143,84,15728,26,1.5452649932967688e-06,0.0,162297,6158,0.0001
0.05062166880816221,1935.1931818181818,88,16528,26,1.242140683643811e-06,0.0,170297,6444,0.0001
0.0488785644993186,1938.0108695652175,92,17328,26,2.0517396208674654e-06,0.0,178297,6719,0.0001
0.04785031545907259,1940.59375,96,18128,26,7.005043194396876e-07,0.0,186297,7000,0.0001
0.047302001155912876,1942.97,100,18928,26,6.479243204182694e-07,0.0,194297,7283,0.0001
0.04648474603891373,1970.36,104,19728,26,7.356393751933865e-07,0.0,202297,7562,0.0001
0.04534160252660513,1970.36,108,20528,26,7.518956763874485e-07,0.0,210297,7839,0.0001
0.044690875336527824,1970.36,112,21328,26,9.807315990428833e-07,0.0,218297,8122,0.0001
0.044147953391075134,1970.36,116,22128,26,5.921444454770608e-07,0.0,226297,8482,0.0001
0.04324155114591122,1962.69,120,22856,26,6.508840684205097e-07,0.0,233530,8771,0.0001
0.04427825938910246,1962.69,124,23656,26,9.163522030064541e-07,0.0,241530,9066,0.0001
0.04453364107757807,1962.69,128,24456,26,7.629841149991989e-07,0.0,249530,9375,0.0001
0.04438038170337677,1962.69,132,25256,26,4.7754346610418e-07,0.0,257530,9663,0.0001
0.043545071966946125,1962.69,136,26056,26,4.880098387616272e-07,0.0,265530,9943,0.0001
0.04230733308941126,1973.42,140,26856,26,5.959330273697105e-07,0.0,273530,10214,0.0001
0.04193838872015476,1973.42,144,27656,26,4.926993035780924e-07,0.0,281530,10488,0.0001
0.041048076935112476,1973.42,148,28456,26,3.8827721837719764e-07,0.0,289530,10763,0.0001
0.04060642421245575,1973.42,152,29256,26,3.0253067961893976e-07,0.0,297530,11037,0.0001
0.04007774218916893,1973.42,156,30056,27,2.6549212073234685e-07,0.0,305530,11313,0.0001
0.03988238703459501,1973.42,160,30856,27,4.655726346669553e-07,0.0,313530,11591,0.0001
0.03904354106634855,1973.42,164,31656,27,2.2203778549112485e-07,0.0,321530,11868,0.0001
0.038050033152103424,1973.42,168,32456,27,1.6356891041624522e-07,0.0,329530,12146,0.0001
0.03638720326125622,1992.33,172,33256,27,9.307143855608047e-08,0.0,337530,12422,0.0001
0.035296572372317314,1992.33,176,34056,27,6.298937904603008e-08,0.0,345530,12698,0.0001
0.0337207205593586,1992.33,180,34856,27,5.407119862965715e-08,0.0,353530,12975,0.0001
