rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
0.5,2156,154,13,539.0,4,,,,
0.5,7891,386,20,986.375,8,0.0001,7.34521845515701e-05,-0.05098747368901968,288
0.3333333432674408,12961,595,21,1080.0833333333333,12,0.0001,0.0019403467372285377,-0.048824953846633434,800
0.25,17922,804,22,1120.125,16,0.0001,0.00011305643602099735,-0.042543609626591206,1296
0.20000000298023224,19302,907,21,965.1,20,0.0001,6.274449560805806e-05,-0.03983672522008419,1432
0.1666666716337204,20721,1012,20,863.375,24,0.0001,5.5080172160160146e-05,-0.03453337214887142,1576
0.1428571492433548,22180,1122,19,792.1428571428571,28,0.0001,0.0010470639688264782,-0.03207518486306071,1720
0.125,24081,1245,19,752.53125,32,0.0001,3.761474681596155e-05,-0.022824124433100224,1912
0.1111111119389534,26481,1377,19,735.5833333333334,36,0.0001,1.9915521988878027e-05,-0.021019484382122755,2152
0.10000000149011612,28401,1495,18,710.025,40,0.0001,0.0014619026801483415,-0.018987577641382813,2344
0.09090909361839294,30763,1626,18,699.1590909090909,44,0.0001,0.000141843751862325,-0.005410183861386031,2576
0.0833333358168602,33981,1785,19,707.9375,48,0.0001,1.1564919077500235e-05,0.0016698375693522394,2896
0.07692307978868484,37381,1945,19,718.8653846153846,52,0.0001,1.5654283515686984e-05,0.004664886160753667,3240
0.0714285746216774,41229,2119,19,736.2321428571429,56,0.0001,9.039431176915969e-06,0.008984440471976995,3624
0.06666667014360428,43296,2241,19,721.6,60,0.0001,0.00012251759517312166,0.013321998179890215,3832
0.0625,49345,2475,19,771.015625,64,0.0001,0.00012277511041247635,0.028359492775052786,4432
0.05882352963089943,56805,2749,20,835.3676470588235,68,0.0001,1.4169975884215091e-05,0.04402518179267645,5184
0.0555555559694767,64103,3019,21,890.3194444444445,72,0.0001,2.299936841154704e-05,0.05390309449285269,5912
0.05263157933950424,71155,3284,21,936.25,76,0.0001,2.588441361695004e-05,0.06922423280775547,6616
0.05000000074505806,76797,3506,21,959.9625,80,0.0001,4.748208107230312e-05,0.07717946730554104,7176
0.0476190485060215,81054,3694,21,964.9285714285714,84,0.0001,1.0300271753749257e-05,0.07049577496945858,7608
0.04545454680919647,83761,3839,21,951.8295454545455,88,0.0001,3.1311611905948666e-05,0.07227924838662148,7880
0.043478261679410934,85551,3953,21,929.9021739130435,92,0.0001,8.070329499787476e-06,0.07303828001022339,8056
0.0416666679084301,88161,4091,21,918.34375,96,0.0001,2.044609743734327e-05,0.07550167106091976,8320
0.03999999910593033,91144,4239,21,911.44,100,0.0001,1.0650368380993314e-05,0.08424222469329834,8616
