train/value_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_loss,time/iterations,train/learning_rate,train/entropy_loss
0.0001200874539790675,1.0,9,-156.45982360839844,99,406.0,55,500,-0.011018620803952217,100,0.0007,-2.3011183738708496
5.952217543381266e-05,0.5,11,-442.5668640136719,199,437.5,84,1000,0.006501900497823954,200,0.0007,-2.302107334136963
0.00010908963304245844,0.6666666865348816,13,-23.83734130859375,299,487.0,112,1500,-0.02341236174106598,300,0.0007,-2.3015246391296387
3.967016891692765e-05,0.6666666865348816,15,-116.02485656738281,399,487.0,128,2000,0.01142635103315115,400,0.0007,-2.301382541656494
5.422441063274164e-06,0.6666666865348816,17,-41.943241119384766,499,487.0,146,2500,-0.004331559408456087,500,0.0007,-2.302004814147949
6.725847015331965e-06,0.6666666865348816,17,-61.679161071777344,599,487.0,171,3000,0.0049690972082316875,600,0.0007,-2.302241563796997
4.7249045564967673e-07,0.6666666865348816,18,-260.6468505859375,699,487.0,188,3500,-0.0003173530858475715,700,0.0007,-2.3023548126220703
8.361148502444848e-07,0.6666666865348816,19,-372.66778564453125,799,487.0,204,4000,0.00119840691331774,800,0.0007,-2.3023104667663574
2.2184386239132436e-07,0.6666666865348816,20,-538.6170043945312,899,487.0,219,4500,-0.0005064650322310627,900,0.0007,-2.3023312091827393
1.6215541336350725e-06,0.6666666865348816,21,-374.0306701660156,999,487.0,234,5000,-0.0008192368550226092,1000,0.0007,-2.3022727966308594
1.5854723756092426e-08,0.5,20,-2.9867923259735107,1099,1365.25,268,5500,-0.00019321523723192513,1100,0.0007,-2.3023133277893066
1.6498190689162584e-06,0.5,21,-61.452857971191406,1199,1365.25,283,6000,-0.0020364101510494947,1200,0.0007,-2.302220106124878
1.2530700814750162e-06,0.6000000238418579,20,-8.580296516418457,1299,1201.8,314,6500,-0.0013869783142581582,1300,0.0007,-2.3021399974823
4.130546221858822e-05,0.6666666865348816,20,-78.5165023803711,1399,1101.5,342,7000,0.006953365169465542,1400,0.0007,-2.301203489303589
4.614606950781308e-06,0.625,19,-100.82401275634766,1499,929.5,391,7500,-0.0007745159673504531,1500,0.0007,-2.298459053039551
5.23753715242492e-06,0.6666666865348816,19,-262.9742736816406,1599,877.3333333333334,419,8000,0.003965661861002445,1600,0.0007,-2.298464775085449
3.93399295717245e-06,0.699999988079071,18,-6.252328395843506,1699,848.0,447,8500,0.002418721094727516,1700,0.0007,-2.3017144203186035
2.8774943530152086e-06,0.7272727489471436,18,0.25579822063446045,1799,811.0,479,9000,-0.0036206983495503664,1800,0.0007,-2.3014638423919678
