time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss
35,71680,500.0,20,3526,-3101.6884765625,0.0,-2.0052032771982704e-20,0.0,340,0.2,1.480268955230713,0.710728645324707,0.0003,-1.0538497008383275e-08,14.956461618468165
36,73728,500.0,20,3628,-3101.719482421875,0.0,-1.7771614811166418e-20,0.0,350,0.2,1.7070221900939941,0.7333329319953918,0.0003,2.567685442045331e-09,7.279744658991694
37,75776,500.0,20,3726,-3101.707275390625,0.0,-1.773986303603788e-20,0.0,360,0.2,2.7400190830230713,0.7175936698913574,0.0003,-2.644082996994257e-09,6.785134921967983
38,77824,500.0,20,3824,-3101.61083984375,0.0,-1.7990967059767046e-20,0.0,370,0.2,1.4597606658935547,0.7429318428039551,0.0003,4.357571015134454e-09,6.72355688214302
39,79872,500.0,20,3922,-3101.599365234375,0.0,-1.7857155651505606e-20,0.0,380,0.2,2.1447243690490723,0.7428897619247437,0.0003,-6.773916538804769e-10,6.855530658364296
40,81920,500.0,20,4020,-3101.56591796875,0.0,-1.7632944216628497e-20,0.0,390,0.2,1.5523604154586792,0.7698562145233154,0.0003,-7.843482308089733e-10,6.783684122934938
41,83968,500.0,20,4117,-3101.5048828125,0.0,-1.749647617222505e-20,0.0,400,0.2,1.7711973190307617,0.760664701461792,0.0003,2.6746420189738275e-09,6.525942787528038
42,86016,500.0,20,4231,-3101.468505859375,0.0,-1.7707320940926995e-20,0.0,410,0.2,2.4237706661224365,0.7761821746826172,0.0003,-6.840127753093839e-09,6.446703162044287
43,88064,500.0,20,4328,-3101.507568359375,0.0,-1.7933287988904117e-20,0.0,420,0.2,1.8463624715805054,0.7732809782028198,0.0003,5.997571861371398e-09,6.574868910014629
44,90112,500.0,20,4429,-3101.522705078125,0.0,-1.8361038568048222e-20,0.0,430,0.2,2.24761962890625,0.7913933396339417,0.0003,1.1074007488787173e-09,6.185953291505575
45,92160,500.0,20,4527,-3101.608642578125,0.0,-1.8788730173213232e-20,0.0,440,0.2,1.9283288717269897,0.7956826090812683,0.0003,-1.4500983525067569e-09,6.182222986966371
46,94208,500.0,20,4625,-3101.567138671875,0.0,-1.852919540492553e-20,0.0,450,0.2,1.5615836381912231,0.7568999528884888,0.0003,-4.330286174081266e-09,6.5068668510764835
47,96256,500.0,20,4724,-3101.50634765625,0.0,-1.842607329606015e-20,0.0,460,0.2,2.2539126873016357,0.8110530376434326,0.0003,-7.756170816719532e-09,6.16989217326045
48,98304,500.0,20,4823,-3101.48779296875,0.0,-1.848055556932028e-20,0.0,470,0.2,1.5055503845214844,0.7821069359779358,0.0003,3.7405698094516994e-09,6.35706433467567
49,100352,500.0,20,4921,-3101.4677734375,0.0,-1.873341341890619e-20,0.0,480,0.2,2.5717885494232178,0.7931492328643799,0.0003,-1.9397702999413015e-09,5.954843312501907
