rollout/ep_rew_mean,time/episodes,train/learning_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss
0.0,244,0.0001,2000.0,20,23559,48112,486088,-0.0009592551359673962,3.272310304669457e-09
0.0,248,0.0001,2000.0,20,23934,48912,494088,-0.0009558550082147121,5.025220654528151e-09
0.0,252,0.0001,2000.0,20,24322,49712,502088,-0.0009415614476893097,1.5217180154847298e-09
0.0,256,0.0001,2000.0,20,24702,50512,510088,-0.0009327512234449387,3.5174233230933494e-10
0.0,260,0.0001,2000.0,20,25080,51312,518088,-0.0008772852452239022,9.911275827834132e-10
0.0,264,0.0001,2000.0,20,25451,52112,526088,-0.0009256472549168393,3.948441969214844e-09
0.0,268,0.0001,2000.0,20,25824,52912,534088,-0.0008914831996662542,2.8328875911753926e-09
0.0,272,0.0001,2000.0,20,26204,53712,542088,-0.0008432634931523353,2.481790589009547e-10
0.0,276,0.0001,2000.0,20,26586,54512,550088,-0.000805419942480512,3.531110993881814e-10
0.0,280,0.0001,2000.0,20,26966,55312,558088,-0.000848944386234507,4.317669832776261e-09
0.0,284,0.0001,2000.0,20,27349,56112,566088,-0.000785841082688421,1.5886401638631753e-09
0.0,288,0.0001,2000.0,20,27727,56912,574088,-0.000787365366704762,1.8102515042528466e-09
0.0,292,0.0001,2000.0,20,28102,57712,582088,-0.0007407680968753994,1.7407484030618203e-09
0.0,296,0.0001,2000.0,20,28475,58512,590088,-0.0007912722212495282,2.739941256518774e-09
0.0,300,0.0001,2000.0,20,28861,59312,598088,-0.0007078598573571071,4.500950064045828e-09
0.0,304,0.0001,2000.0,20,29249,60112,606088,-0.0007068572012940422,2.9823177087606734e-10
0.0,308,0.0001,2000.0,20,29629,60912,614088,-0.0006810678751207888,4.181217871934706e-10
0.0,312,0.0001,2000.0,20,30013,61712,622088,-0.0006585989322047681,7.474139796653789e-11
0.0,316,0.0001,2000.0,20,30419,62512,630088,-0.0006867696938570589,2.536028165245341e-09
