train/policy_loss,train/value_loss,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/n_updates,train/entropy_loss,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
0.0020248182117938995,0.00016140678781084716,7,100,500,-174.4916534423828,99,-2.059187173843384,63,0.0007,,
0.010705131106078625,0.00014514978101942688,7,200,1000,-3880.09130859375,199,-2.075460910797119,140,0.0007,,
0.4206102788448334,0.2019023597240448,6,300,1500,-0.0010528564453125,299,-2.078187942504883,242,0.0007,0.0,1021.0
-0.027564067393541336,0.00022739218547940254,6,400,2000,-211.2523956298828,399,-2.0750818252563477,311,0.0007,0.0,1021.0
-0.015099888667464256,6.312151526799425e-05,6,500,2500,-11.455763816833496,499,-2.0741071701049805,377,0.0007,0.0,1021.0
-0.011732777580618858,5.0790909881470725e-05,6,600,3000,-594097.9375,599,-2.048691511154175,430,0.0007,0.0,1021.0
0.0005963129224255681,4.598475243255962e-06,6,700,3500,-18.09375,699,-2.070789098739624,518,0.0007,2.5,1510.5
-0.0016743472078815103,9.255089707949082e-07,7,800,4000,-1.429185390472412,799,-2.0663390159606934,570,0.0007,2.5,1510.5
0.004789046943187714,1.4885406017128844e-05,7,900,4500,-11641.466796875,899,-2.068300485610962,608,0.0007,2.5,1510.5
-0.002933389972895384,1.8328806618228555e-05,8,1000,5000,-7098.38818359375,999,-2.073706865310669,623,0.0007,2.5,1510.5
-0.00241942354477942,1.552817593619693e-06,7,1100,5500,-419.4227600097656,1099,-2.0739779472351074,714,0.0007,1.6666666269302368,1673.6666666666667
-0.0010586895514279604,8.725267548470583e-07,7,1200,6000,-25665.84375,1199,-2.071770429611206,775,0.0007,1.6666666269302368,1673.6666666666667
0.0019594680052250624,7.881470082793385e-06,7,1300,6500,-142.0559844970703,1299,-2.0623245239257812,812,0.0007,1.6666666269302368,1673.6666666666667
0.0038963414262980223,2.2559750505024567e-05,8,1400,7000,-477.9879150390625,1399,-2.0646700859069824,843,0.0007,1.6666666269302368,1673.6666666666667
-1.558740586915519e-05,4.938248139296775e-07,7,1500,7500,-324.9513854980469,1499,-2.0639567375183105,950,0.0007,1.75,1755.25
-0.006798357702791691,1.9957162294304e-05,7,1600,8000,-54.07221221923828,1599,-1.5253684520721436,1061,0.0007,1.75,1755.25
-0.04441003128886223,0.0005513927317224443,7,1700,8500,-7.508371353149414,1699,-1.4840409755706787,1152,0.0007,1.75,1755.25
-0.0029661650769412518,1.299626183026703e-05,7,1800,9000,-0.43616199493408203,1799,-1.075581431388855,1194,0.0007,1.75,1755.25
-0.002236021915450692,1.992073521250859e-06,7,1900,9500,-38.02835464477539,1899,-0.7472808957099915,1259,0.0007,4.0,1804.2
-0.0015602200292050838,9.101104296860285e-07,7,2000,10000,-23794.0703125,1999,-0.8874778747558594,1276,0.0007,4.0,1804.2
-0.0008871390600688756,7.088114216458052e-06,8,2100,10500,-41.34902572631836,2099,-0.9957579374313354,1288,0.0007,4.0,1804.2
0.00010605622082948685,1.401014060320449e-08,8,2200,11000,-5.014471054077148,2199,-1.1036102771759033,1299,0.0007,4.0,1804.2
0.008515603840351105,7.414237188640982e-05,8,2300,11500,-14271.9248046875,2299,-2.060187816619873,1415,0.0007,3.6666667461395264,1836.8333333333333
0.003819928737357259,4.517270554060815e-06,8,2400,12000,-257.57183837890625,2399,-2.0632331371307373,1486,0.0007,3.2857143878936768,1694.142857142857
-0.009840643033385277,0.00013938017946202308,7,2500,12500,-1.0275444984436035,2499,-0.6801717281341553,1605,0.0007,3.2857143878936768,1694.142857142857
