rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate
407.25,0.0,13,1,2048,151,,,,,,,,,,
431.0,0.5,15,2,4096,267,0.01578711471593124,0.029574173,-0.12671104073524475,10,0.2,-2.2943090960383414,-0.052761585408006795,0.170458984375,-3.0110435485839844,0.0003
451.6923076923077,0.6153846383094788,14,3,6144,410,0.0146117515359947,0.045079764,-0.10693247616291046,20,0.2,-2.2808806195855142,-0.07913470844941912,0.35673828125,-0.2478017807006836,0.0003
435.2352941176471,0.529411792755127,14,4,8192,547,0.01018330775477807,0.067520484,-0.13298287987709045,30,0.2,-2.2592340975999834,-0.09387878024135717,0.4853515625,-0.3928886651992798,0.0003
435.2352941176471,0.529411792755127,16,5,10240,622,0.0067416825546388285,0.08486045,-0.14306437969207764,40,0.2,-2.2254109002649782,-0.10195170884253457,0.54716796875,-1.610971450805664,0.0003
633.2777777777778,0.5,17,6,12288,712,0.003166862918442348,0.099807024,-0.149409219622612,50,0.2,-2.1787990048527717,-0.11305552693665959,0.588720703125,-9.101205825805664,0.0003
633.2777777777778,0.5,18,7,14336,788,0.001994109583210957,0.11935322,-0.14793957769870758,60,0.2,-2.1386456221342085,-0.11577504347078502,0.6142578125,-16.537229537963867,0.0003
770.1428571428571,0.4761904776096344,17,8,16384,915,0.0014011285687956843,0.13205975,-0.15339569747447968,70,0.2,-2.1070036597549917,-0.11421660315536428,0.626025390625,-25.80479621887207,0.0003
719.28,0.4399999976158142,17,9,18432,1050,0.0037679969404052827,0.11142841,-0.07864752411842346,80,0.2,-2.0839269876480104,-0.08796806224272587,0.6076171875,-0.2662215232849121,0.0003
698.7407407407408,0.4444444477558136,17,10,20480,1163,0.0033069490951675106,0.13886578,-0.14846408367156982,90,0.2,-2.0761920966207983,-0.09314800527936314,0.61142578125,-0.45381641387939453,0.0003
698.7407407407408,0.4444444477558136,18,11,22528,1230,0.0038098720517155014,0.13286942,-0.11784988641738892,100,0.2,-2.0734894435852764,-0.09397179069346748,0.618359375,-0.4870873689651489,0.0003
763.8125,0.375,17,12,24576,1377,0.0013664095557942347,0.16021977,-0.14820240437984467,110,0.2,-2.0132897604256867,-0.11315306293254253,0.65205078125,-10.136926651000977,0.0003
738.2352941176471,0.3529411852359772,18,13,26624,1473,0.000678977638563083,0.160219,-0.15158230066299438,120,0.2,-2.008405490964651,-0.11358748649654445,0.6373046875,-9.304539680480957,0.0003
738.2352941176471,0.3529411852359772,18,14,28672,1540,0.000582756362746295,0.19507158,-0.1442629098892212,130,0.2,-1.9110712010413409,-0.11145518710254691,0.662890625,-17.558103561401367,0.0003
820.3888888888889,0.3333333432674408,18,15,30720,1630,0.0004896078576166474,0.22311318,-0.14793157577514648,140,0.2,-1.8605258353054523,-0.11354330930334981,0.681396484375,-18.35761833190918,0.0003
820.3888888888889,0.3333333432674408,19,16,32768,1695,0.00039770762728039697,0.23450977,-0.1467350274324417,150,0.2,-1.846934925019741,-0.11303259700071067,0.686767578125,-20.8101806640625,0.0003
883.7435897435897,0.3076923191547394,19,17,34816,1815,0.0003013538016602979,0.22985101,-0.13415467739105225,160,0.2,-1.8348003171384335,-0.11273734662099741,0.682373046875,-28.3537540435791,0.0003
861.8780487804878,0.2926829159259796,19,18,36864,1913,0.0002285461346673401,0.23403385,-0.14254049956798553,170,0.2,-1.8128532629460097,-0.11277460175915621,0.677978515625,-20.670223236083984,0.0003
861.8780487804878,0.2926829159259796,19,19,38912,1961,0.00015958054680140777,0.19950527,-0.12391985952854156,180,0.2,-1.9087504796683787,-0.10135410803195555,0.6181640625,-30.09579086303711,0.0003
902.3777777777777,0.2666666805744171,19,20,40960,2073,0.00016097940174404358,0.20501608,-0.13611114025115967,190,0.2,-1.7235641423612833,-0.10208702775707934,0.658349609375,-26.645156860351562,0.0003
881.8541666666666,0.25,19,21,43008,2173,0.00015105247546216561,0.24194452,-0.1493435502052307,200,0.2,-1.650286280363798,-0.10235065351298545,0.65771484375,-16.754606246948242,0.0003
881.8541666666666,0.25,20,22,45056,2225,0.00011840526985906763,0.29250297,-0.1391015499830246,210,0.2,-1.5791983358561992,-0.10135339639236918,0.657421875,-17.58163833618164,0.0003
945.4897959183673,0.2448979616165161,20,23,47104,2301,0.00014963593041557034,0.28631878,-0.1439850926399231,220,0.2,-1.456462736427784,-0.10012619179033208,0.661572265625,-23.167888641357422,0.0003
945.4897959183673,0.2448979616165161,20,24,49152,2369,9.173317005206627e-05,0.320778,-0.14384815096855164,230,0.2,-1.5540479123592377,-0.10550616099790204,0.66611328125,-19.885574340820312,0.0003
996.2156862745098,0.23529411852359772,20,25,51200,2456,8.622629756018795e-05,0.33589417,-0.14018025994300842,240,0.2,-1.4757001962512732,-0.1062201638094848,0.68125,-7.106234550476074,0.0003
